040T22223S51_3_F 	3-DD1.3: 23
040T22223S37_4_H 	3-DD1.3: 24
040T22223S37_4_  	3-DD1.3: 25
040T22223S37_4_C 	
040T22223S37_4_D 	3-DD1.3: 27
040T22223S37_4_T 	3-DD1.3: 28
040T22223S37_4_A 	3-DD1.3: 29
040T22223S37_4_E 	3-DD1.3: 32
040T22223S37_4_B 	3-DD1.3: 33
040T22223S37_4_F 	3-DD1.3: 34
040T22223S61_5_H 	3-DD1.10: 2
040T22223S61_5_  	3-DD1.10: 3
040T22223S61_5_C 	
040T22223S61_5_D 	3-DD1.10: 5
040T22223S61_5_T 	3-DD1.10: 6
040T22223S61_5_A 	3-DD1.10: 7
040T22223S61_5_E 	3-DD1.10: 8
040T22223S61_5_B 	3-DD1.10: 9
040T22223S61_5_F 	3-DD1.10: 12
040T22223S61_6_H 	3-DD1.10: 13
040T22223S61_6_I 	3-DD1.10: 14
040T22223S61_6_  	3-DD1.10: 15
040T22223S61_6_D 	
040T22223S61_6_T 	3-DD1.10: 17
040T22223S61_6_A 	3-DD1.10: 18
040T22223S61_6_E 	3-DD1.10: 19
040T22223S61_6_B 	3-DD1.10: 22
040T22223S61_6_F 	3-DD1.10: 23
040T22223S02_8_H 	3-DD1.10: 24
040T22223S02_8_I 	3-DD1.10: 25
040T22223S02_8_C 	3-DD1.10: 26
040T22223S02_8_  	3-DD1.10: 27
040T22223S02_8_T 	
040T22223S02_8_A 	3-DD1.10: 29
040T22223S02_8_E 	3-DD1.10: 32
040T22223S02_8_B 	3-DD1.10: 33
040T22223S02_8_F 	3-DD1.10: 34
040T22223S13_10_H 	3-DD1.4: 2
040T22223S13_10_I 	3-DD1.4: 3
040T22223S13_10_C 	3-DD1.4: 4
040T22223S13_10_D 	3-DD1.4: 5
040T22223S13_10_  	3-DD1.4: 6
040T22223S13_10_A 	
040T22223S13_10_E 	3-DD1.4: 8
040T22223S13_10_B 	3-DD1.4: 9
040T22223S13_10_F 	3-DD1.4: 12
040T22000S20_6_H 	3-DD1.4: 13
040T22000S20_6_I 	3-DD1.4: 14
040T22000S20_6_C 	3-DD1.4: 15
040T22000S20_6_D 	3-DD1.4: 16
040T22000S20_6_T 	3-DD1.4: 17
040T22000S20_6_  	3-DD1.4: 18
040T22000S20_6_E 	
040T22000S20_6_B 	3-DD1.4: 22
040T22000S20_6_F 	3-DD1.4: 23
040T22223S38_13_H 	3-DD1.4: 24
040T22223S38_13_I 	3-DD1.4: 25
040T22223S38_13_C 	3-DD1.4: 26
040T22223S38_13_D 	3-DD1.4: 27
040T22223S38_13_T 	3-DD1.4: 28
040T22223S38_13_A 	3-DD1.4: 29
040T22223S38_13_  	3-DD1.4: 32
040T22223S38_13_B 	
040T22223S38_13_F 	3-DD1.4: 34
040T22002S20_7_H 	3-DD1.11: 2
040T22002S20_7_I 	3-DD1.11: 3
040T22002S20_7_C 	3-DD1.11: 4
040T22002S20_7_D 	3-DD1.11: 5
040T22002S20_7_T 	3-DD1.11: 6
040T22002S20_7_A 	3-DD1.11: 7
040T22002S20_7_E 	3-DD1.11: 8
040T22002S20_7_  	3-DD1.11: 9
040T22002S20_7_F 	
040T22002S37_1_H 	3-DD1.11: 13
040T22002S37_1_I 	3-DD1.11: 14
040T22002S37_1_C 	3-DD1.11: 15
040T22002S37_1_D 	3-DD1.11: 16
040T22002S37_1_T 	3-DD1.11: 17
040T22002S37_1_A 	3-DD1.11: 18
040T22002S37_1_E 	3-DD1.11: 19
040T22002S37_1_B 	3-DD1.11: 22
040T22002S37_1_  	3-DD1.11: 23
040T22002S37_2_H 	
040T22002S37_2_I 	3-DD1.11: 25
040T22002S37_2_C 	3-DD1.11: 26
040T22002S37_2_D 	3-DD1.11: 27
040T22002S37_2_T 	3-DD1.11: 28
040T22002S37_2_A 	3-DD1.11: 29
040T22002S37_2_E 	3-DD1.11: 32
040T22002S37_2_B 	3-DD1.11: 33
040T22002S37_2_F 	3-DD1.11: 34
040T22002S37_4_  	3-DD1.5: 2
040T22002S37_4_I 	
040T22002S37_4_C 	3-DD1.5: 4
040T22002S37_4_D 	3-DD1.5: 5
040T22002S37_4_T 	3-DD1.5: 6
040T22002S37_4_A 	3-DD1.5: 7
040T22002S37_4_E 	3-DD1.5: 8
040T22002S37_4_B 	3-DD1.5: 9
040T22002S37_4_F 	3-DD1.5: 12
040T22002S37_5_H 	3-DD1.5: 13
040T22002S37_5_  	3-DD1.5: 14
040T22002S37_5_C 	
040T22002S37_5_D 	3-DD1.5: 16
040T22002S37_5_T 	3-DD1.5: 17
040T22002S37_5_A 	3-DD1.5: 18
040T22002S37_5_E 	3-DD1.5: 19
040T22002S37_5_B 	3-DD1.5: 22
040T22002S37_5_F 	3-DD1.5: 23
040T22003S37_1_H 	3-DD1.5: 24
040T22003S37_1_I 	3-DD1.5: 25
040T22003S37_1_  	3-DD1.5: 26
040T22003S37_1_D 	
040T22003S37_1_T 	3-DD1.5: 28
040T22003S37_1_A 	3-DD1.5: 29
040T22003S37_1_E 	3-DD1.5: 32
040T22003S37_1_B 	3-DD1.5: 33
040T22003S37_1_F 	3-DD1.5: 34
040T22003S37_2_H 	3-DD1.5: 2
040T22003S37_2_I 	3-DD1.5: 3
040T22003S37_2_C 	3-DD1.5: 4
040T22003S37_2_  	3-DD1.5: 5
040T22003S37_2_T 	
040T22003S37_2_A 	3-DD1.5: 7
040T22003S37_2_E 	3-DD1.5: 8
040T22003S37_2_B 	3-DD1.5: 9
040T22003S37_2_F 	3-DD1.5: 12
040T22003S37_4_H 	3-DD1.5: 13
040T22003S37_4_I 	3-DD1.5: 14
040T22003S37_4_C 	3-DD1.5: 15
040T22003S37_4_D 	3-DD1.5: 16
040T22003S37_4_  	3-DD1.5: 17
040T22003S37_4_A 	
040T22003S37_4_E 	3-DD1.5: 19
040T22003S37_4_B 	3-DD1.5: 22
040T22003S37_4_F 	3-DD1.5: 23
040T22003S37_5_H 	3-DD1.5: 24
040T22003S37_5_I 	3-DD1.5: 25
040T22003S37_5_C 	3-DD1.5: 26
040T22003S37_5_D 	3-DD1.5: 27
040T22003S37_5_T 	3-DD1.5: 28
040T22003S37_5_  	3-DD1.5: 29
040T22003S37_5_E 	
040T22003S37_5_B 	3-DD1.5: 33
040T22003S37_5_F 	3-DD1.5: 34
040T22003S66_6_H 	3-DD1.6: 2
040T22003S66_6_I 	3-DD1.6: 3
040T22003S66_6_C 	3-DD1.6: 4
040T22003S66_6_D 	3-DD1.6: 5
040T22003S66_6_T 	3-DD1.6: 6
040T22003S66_6_A 	3-DD1.6: 7
040T22003S66_6_  	3-DD1.6: 8
040T22003S66_6_B 	
040T22003S66_6_F 	3-DD1.6: 12
040T22113S37_1_H 	3-DD1.6: 13
040T22113S37_1_I 	3-DD1.6: 14
040T22113S37_1_C 	3-DD1.6: 15
040T22113S37_1_D 	3-DD1.6: 16
040T22113S37_1_T 	3-DD1.6: 17
040T22113S37_1_A 	3-DD1.6: 18
040T22113S37_1_E 	3-DD1.6: 19
040T22113S37_1_  	3-DD1.6: 22
040T22113S37_1_F 	
040T22113S37_3_H 	3-DD1.6: 24
040T22113S37_3_I 	3-DD1.6: 25
040T22113S37_3_C 	3-DD1.6: 26
040T22113S37_3_D 	3-DD1.6: 27
040T22113S37_3_T 	3-DD1.6: 28
040T22113S37_3_A 	3-DD1.6: 29
040T22113S37_3_E 	3-DD1.6: 32
040T22113S37_3_B 	3-DD1.6: 33
040T22113S37_3_  	3-DD1.6: 34
040T22113S37_4_H 	
040T22113S37_4_I 	3-DD1.13: 3
040T22113S37_4_C 	3-DD1.13: 4
040T22113S37_4_D 	3-DD1.13: 5
040T22113S37_4_T 	3-DD1.13: 6
040T22113S37_4_A 	3-DD1.13: 7
040T22113S37_4_E 	3-DD1.13: 8
040T22113S37_4_B 	3-DD1.13: 9
040T22113S37_4_F 	3-DD1.13: 12
040T22333S37_2_  	3-DD1.13: 13
040T22333S37_2_I 	
